endpointId,endpointUrl,endpointGroup,prefixes
bio2rdf-affymetrix,http://cu.affymetrix.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-biomodels,https://cu.biomodels.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-bioportal,https://cu.bioportal.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-ctd,https://cu.ctd.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-dbsnp,https://cu.dbsnp.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-drugbank,https://cu.drugbank.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-genage,https://cu.genage.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-gendr,https://cu.gendr.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-geneid,https://cu.geneid.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-goa,https://cu.goa.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-hgnc,https://cu.hgnc.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-homologene,https://cu.homologene.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-irefindex,https://cu.irefindex.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-kegg,https://cu.kegg.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-linkedspl,https://cu.linkedspl.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-mgi,https://cu.mgi.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-ncbigene,https://cu.ncbigene.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-omim,https://cu.omim.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-pharmgkb,https://cu.pharmgkb.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-sabiork,https://cu.sabiork.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-sgd,https://cu.sgd.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-sider,https://cu.sider.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-taxonomy,https://cu.taxonomy.bio2rdf.org/sparql,bio2rdf,bio2rdf
bio2rdf-wormbase,https://cu.wormbase.bio2rdf.org/sparql,bio2rdf,bio2rdf
dbpedia,https://dbpedia.org/sparql,dbpedia,dbpedia
lgd,https://linkedgeodata.org/sparql,lgd,lgd
swdf,http://data.semanticweb.org/sparql,swdf,prefix.cc
wikidata,https://query.wikidata.org/,wikidata,wikidata
